"from_date","emp_no","last_name","first_name","gender","salary"
"1986-04-26",10713,"Naumovich","Jagoda","M",70575
"1986-04-20",10729,"Lorho","Percy","F",40000
"1986-01-06",10757,"Simkin","Florina","M",49134
"1986-03-16",10776,"Skafidas","Mahmut","F",58145
"1986-08-02",10819,"Sooriamurthi","Pascal","M",54631
"1986-01-11",10822,"Passino","Masaru","F",40110
"1986-07-04",10778,"Merey","Selwyn","M",64996
"1986-02-14",10828,"Gammage","Godehard","M",56559
"1986-10-11",10832,"Bergere","Hidde","F",69585
"1986-07-22",10952,"Bharadwaj","Inderjeet","M",40000
"1986-01-14",10837,"Karlin","Chuanti","M",80879
"1986-07-14",10842,"Sanella","Berni","F",50760
"1986-07-25",10847,"Danley","Theirry","M",40000
"1986-12-31",10856,"Peck","Sreenivas","F",42965
"1986-09-25",10864,"Spieker","Elliott","F",63243
"1986-09-27",10955,"Danley","Urs","F",97936
"1986-12-16",10962,"Kugler","Naraig","F",77274
"1986-07-29",10965,"Braunschweig","Eckart","M",61654
"1986-04-22",10874,"Borstler","Mahmut","M",56071
"1986-06-06",10877,"Biron","Subir","M",52537
"1986-01-27",10979,"Raney","Elrique","F",55955
"1986-04-26",10895,"Petersohn","Vishwani","M",67103
"1986-04-09",10897,"Kumaresan","Arno","F",92925
"1986-09-09",11009,"Axelband","Alper","F",75111
"1986-04-05",10908,"Koblick","Rajmohan","M",40000
"1986-04-23",10912,"Fasbender","Oscal","M",45665
"1986-12-18",11010,"Narwekar","Jaques","F",77160
"1986-05-07",11027,"Cappello","Remzi","M",40000
"1986-07-27",10921,"Bahi","Mara","F",72601
"1986-06-18",11028,"Krider","Miyeon","M",41111
"1986-05-06",11050,"Katiyar","Elvis","M",52251
"1986-09-12",10927,"Scallan","Gal","M",51819
"1986-07-18",11054,"Krohn","Utpal","M",40000
"1986-11-17",11059,"Jarecki","Shawna","F",58271
"1986-03-30",11237,"Salinas","Brendon","M",102547
"1986-09-22",11249,"Cyre","Randi","M",43324
"1986-10-13",11100,"Cochrane","Berna","M",40000
"1986-06-15",11251,"Chinal","Bezalel","M",69432
"1986-09-25",11256,"Ratzlaff","Gudjon","M",67685
"1986-12-26",11259,"Gronowski","Amalendu","M",91628
"1986-10-09",11264,"Oehlmann","Uma","F",65827
"1986-04-22",11278,"Juneja","Sumali","M",40000
"1986-11-05",11303,"Usery","Jaewoo","M",49413
"1986-02-28",11313,"Kusalik","Paraskevi","M",55301
"1986-01-25",11318,"Unno","Gopalakrishnan","F",69853
"1986-08-08",11328,"Ferriere","Xiong","M",61119
"1986-04-20",11347,"Jonsson","Anneli","M",41524
"1986-06-11",11180,"Bojadziev","Mitsuyuki","F",40000
"1986-03-16",11363,"Milicia","Jenwei","M",70183
"1986-03-14",11376,"Suomi","Valery","M",46964
"1986-01-03",11378,"Katiyar","Masamitsu","F",40000
"1986-09-02",11421,"Msuda","Josyula","F",52416
"1986-10-16",11429,"Kaminger","Nagui","M",78620
"1986-10-15",11435,"Lichtman","Utpal","M",65726
"1986-05-03",11459,"Suomi","Duke","M",40000
"1986-08-19",11461,"Cronau","Kish","M",49398
"1986-10-09",11517,"Raczkowsky","Hatem","F",54453
"1986-03-08",11614,"Peha","Moni","M",68728
"1986-07-06",11537,"Pehl","DAIDA","M",96023
"1986-11-17",11621,"Baaleh","Ottavia","M",60596
"1986-03-30",11638,"Falco","JoAnne","M",59646
"1986-09-19",11545,"Lieblein","Bartek","F",40000
"1986-05-16",11548,"Leuchs","Nahid","M",40000
"1986-05-09",11551,"Gonthier","Subhrajyoti","M",63612
"1986-11-22",11660,"Stenning","Gill","F",65758
"1986-10-14",11555,"Perfilyeva","Kotesh","M",40000
"1986-02-15",11571,"Takkinen","Jinpo","F",40000
"1986-12-31",11671,"Babu","Pranjal","F",55227
"1986-01-07",11591,"Lindqvist","Kiyomitsu","M",40000
"1986-11-27",11682,"Zumaque","Dante","M",48241
"1986-02-21",11684,"Gide","Oksana","F",68753
"1986-06-19",11738,"Lichtman","Tadahiro","M",58432
"1986-03-04",11921,"Benner","Yaghout","M",45865
"1986-09-03",11740,"Pero","Isaac","M",79335
"1986-02-20",11747,"Kossowski","Aksel","M",90239
"1986-12-19",11767,"Kusakabe","Ortrud","M",55832
"1986-11-05",11776,"Zaccaria","Giordano","F",77997
"1986-04-26",11927,"Aingworth","Mana","M",76086
"1986-10-03",11788,"Gopalakrishnan","Georgy","M",59292
"1986-01-31",11941,"Cyre","Gaurav","M",52224
"1986-10-08",11976,"Barvinok","Jacqueline","F",70345
"1986-09-16",11804,"Rusterholz","Bikash","M",46168
"1986-05-17",11808,"Rosiles","Morrie","F",51897
"1986-04-12",11815,"Sommen","Akemi","M",52239
"1986-04-12",11817,"Markovitch","Niranjan","M",50638
"1986-07-15",11830,"Snedden","Maya","F",67232
"1986-07-11",11838,"Nitta","Taiji","M",68674
"1986-12-21",11840,"Hofman","Jayson","M",52977
"1986-08-27",11857,"Farrag","Divier","F",94805
"1986-02-17",12019,"Ossenbruggen","Mads","M",40000
"1986-07-10",12029,"Nourani","Jaana","F",41474
"1986-09-05",12036,"Ratzlaff","Mads","M",67143
"1986-10-01",12037,"Katzenelson","Arunas","M",47805
"1986-04-07",12052,"Khasidashvili","Masako","F",40000
"1986-07-31",12056,"Genther","Nirmal","M",40000
"1986-10-11",11983,"Hedayat","Jaana","M",40000
"1986-03-14",12064,"Silva","Heping","M",40000
"1986-06-24",12067,"Kalsbeek","Doowon","M",72160
"1986-05-24",12154,"Snedden","Aksel","M",49909
"1986-01-29",12082,"Yamaashi","Xinan","M",72118
"1986-07-03",12085,"Rouquie","Hugh","F",41358
"1986-08-16",12087,"Jumpertz","Weijing","M",45432
"1986-10-22",12089,"Socorro","Bilhanan","M",46288
"1986-11-24",12100,"Beznosov","Nevio","F",70999
"1986-06-20",12120,"Schrift","Eckart","M",71783
"1986-10-11",12131,"Fandrianto","Gregory","M",40000
"1986-09-02",12192,"Klyachko","Feiyu","F",41625
"1986-05-04",12198,"Huxford","Shai","M",40313
"1986-06-08",12207,"Menyhert","Radoslaw","M",40000
"1986-12-26",12211,"Lores","Macha","M",40000
"1986-08-24",12212,"Radhakrishnan","Atilio","F",40000
"1986-05-18",12306,"Menyhert","Suvo","F",86718
"1986-10-21",12313,"Narahari","Tsutomu","F",45777
"1986-10-16",12327,"Bruckman","DAIDA","M",67449
"1986-08-13",12223,"Koyama","Niteen","F",54459
"1986-12-08",12255,"Hoogerwoord","Pasqua","M",57304
"1986-03-23",12347,"Ranze","Remko","M",60248
"1986-11-11",12376,"Matzen","Kwangsub","M",57632
"1986-06-09",12387,"Landherr","Lijie","M",40000
"1986-05-19",12560,"Makinen","Leszek","F",45562
"1986-08-17",12411,"Ibel","Shao","M",97610
"1986-07-28",12578,"Perin","Tamiya","M",40000
"1986-02-01",12445,"Mahmud","Luisa","M",68511
"1986-11-26",12451,"Marzano","Pramod","M",40000
"1986-09-23",12600,"Garrabrants","Lucian","F",43910
"1986-04-11",12489,"Munck","Arnould","F",63306
"1986-05-09",12498,"Socorro","Radhakrishnan","M",61197
"1986-06-05",12501,"Matheson","Morrie","F",76082
"1986-01-25",12624,"Zykh","Zhongwei","M",63183
"1986-05-22",12650,"Demke","Odoardo","M",40000
"1986-07-24",12654,"Tagansky","Zhaofang","F",40662
"1986-09-29",12663,"Stellhorn","Nobuyoshi","M",49966
"1986-09-24",12838,"Avouris","Danel","M",40000
"1986-03-03",12693,"Demke","Patricia","M",40000
"1986-07-23",12695,"Crelier","Lubomir","M",44911
"1986-07-11",12697,"Brizzi","Uri","M",40000
"1986-08-07",12705,"Driscoll","Dung","F",53892
"1986-11-21",12711,"Jiafu","Yechiam","M",48648
"1986-08-23",12718,"Kamber","Susanne","F",90490
"1986-06-14",12723,"Baez","Arvin","M",54083
"1986-03-03",12734,"Frijda","Gil","M",40000
"1986-11-25",12743,"Sudbeck","Sachem","M",56932
"1986-03-16",12852,"Baranowski","Karlis","F",69491
"1986-10-19",12760,"Tomescu","Sergi","M",55252
"1986-09-09",12872,"Schmittgen","Marl","F",56040
"1986-01-05",12779,"Birrer","Miomir","M",40000
"1986-08-23",12782,"Pietracaprina","Weidon","M",40000
"1986-12-16",12787,"Shanbhogue","Bezalel","M",59387
"1986-05-07",12888,"Erni","Martien","F",41673
"1986-12-03",12809,"Gargeya","Huei","F",47707
"1986-10-29",12896,"Delgrande","Mircea","M",54602
"1986-05-19",12933,"Kranzdorf","Youjian","F",40000
"1986-05-08",12954,"Walston","Dinkar","M",59117
"1986-11-06",12941,"Perelgut","Tommaso","F",67069
"1986-08-11",12961,"Rosch","Guther","M",47164
"1986-01-19",13105,"Carrere","Zito","F",52974
"1986-06-21",12971,"Gladwell","Tetsurou","F",56293
"1986-10-24",12974,"Frolund","Gift","M",93034
"1986-08-25",12993,"Sessa","Subhash","F",74041
"1986-12-08",13005,"Kobara","Gilbert","F",40000
"1986-04-29",13186,"Barbanera","Kyoichi","M",93138
"1986-11-07",13006,"Spelt","Jolita","M",55773
"1986-01-21",13014,"Budinsky","Gianluca","M",40000
"1986-07-07",13040,"Berendt","Danny","F",49082
"1986-07-18",13068,"Magalhaes","Aksel","F",49547
"1986-08-17",13075,"Morrin","Rosella","M",40000
"1986-07-17",13190,"Kowalchuk","Stepehn","M",40000
"1986-03-02",13195,"Baak","Toshiki","M",52457
"1986-12-21",13198,"McAlpine","Nevin","M",62766
"1986-03-29",13202,"Scharstein","Aram","F",51915
"1986-02-19",13363,"Straney","Temple","M",42226
"1986-06-02",13232,"Fujisaki","Mitchel","F",40000
"1986-06-10",13385,"Buchter","Claudi","M",40000
"1986-07-12",13257,"Poehlman","Francoise","F",55028
"1986-02-23",13386,"Sgarro","Khosrow","F",91420
"1986-03-10",13398,"Valette","Fuqing","M",40000
"1986-03-09",13276,"Seuren","Yechiam","M",65836
"1986-03-15",13450,"Hennebert","Nectarios","F",40000
"1986-10-07",13281,"Wursthorn","Luerbio","M",40000
"1986-11-09",13286,"Smailagic","Basem","M",45858
"1986-10-30",13291,"Stamatiou","Georg","M",54720
"1986-11-06",13298,"Shokrollahi","Sasan","M",40000
"1986-04-10",13334,"Wroclawski","Kwangsub","F",66315
"1986-03-11",13341,"Doering","Bodh","F",40000
"1986-08-23",13451,"Weiland","Gretta","M",40000
"1986-01-18",13457,"Parfitt","Shooichi","M",40812
"1986-08-07",13464,"Jeansoulin","Chanjung","F",45562
"1986-12-16",13473,"Bruckman","Mooi","M",75948
"1986-01-14",13477,"Karlin","Reuven","M",40000
"1986-12-09",13639,"Zeilberger","Marie","M",40000
"1986-02-09",13488,"Krohm","Zhiwei","M",72541
"1986-07-26",13501,"Peek","Caolyn","F",68939
"1986-12-21",13504,"Mandell","Parto","F",41895
"1986-05-09",13508,"Shackell","Kazuyasu","F",40000
"1986-08-12",13511,"Pocchiola","Qiwen","M",71038
"1986-07-06",13529,"Matzen","Toshimori","M",62146
"1986-01-04",13531,"Sluis","Shuichi","M",58854
"1986-12-16",13641,"Georgatos","Chandrasekaran","F",40000
"1986-05-19",13535,"Schlenzig","Arunas","F",40000
"1986-01-30",13652,"Ramsak","Eldridge","F",40000
"1986-07-28",13543,"Garigliano","Tua","F",78646
"1986-03-21",13677,"Hiyoshi","Masasuke","M",45989
"1986-07-28",13560,"Jeong","Sibyl","M",40000
"1986-02-24",13562,"Cooley","Mary","M",40000
"1986-03-15",13570,"Perez","Kiyomitsu","M",70069
"1986-09-15",13572,"Beutelspacher","Honglan","M",40000
"1986-03-14",13590,"Showalter","Sashi","F",58938
"1986-07-15",13601,"Feldhoffer","Lillian","F",60396
"1986-03-03",13604,"Stille","Tzu","M",66944
"1986-07-14",13615,"Marrevee","Sugwoo","M",63219
"1986-05-26",13714,"Lalonde","Kirk","F",40000
"1986-02-22",13757,"Demir","Soenke","F",40000
"1986-08-18",13766,"Heemskerk","Tremaine","M",43748
"1986-11-19",13768,"Lovengreen","Sedat","M",40000
"1986-11-22",13718,"Gronowski","Lein","M",61139
"1986-01-03",13728,"Swab","Insup","M",40000
"1986-02-12",13732,"Hutter","Danae","M",46179
"1986-08-04",13795,"Gewali","Mayuri","M",49749
"1986-06-06",13916,"Wynblatt","Vidya","M",90797
"1986-03-08",13808,"Stentiford","Becky","F",72103
"1986-01-12",13809,"Basagni","Kiyotoshi","M",43735
"1986-08-02",13825,"Pell","Arlette","M",54704
"1986-09-23",13833,"Grospietsch","Sumali","F",60015
"1986-09-27",13855,"Argence","Zhensheng","F",40000
"1986-01-31",13864,"Attimonelli","Gladys","M",58688
"1986-04-15",13938,"Lueh","Rosella","F",40000
"1986-04-18",13957,"Chelton","Angus","F",62604
"1986-06-08",13979,"Highland","Turgut","F",50381
"1986-05-31",13982,"Vieri","Marsja","M",51178
"1986-08-24",14184,"Barvinok","Nalini","M",68003
"1986-04-13",14083,"Figueira","Sashi","M",43544
"1986-07-10",14116,"Wilfing","Yuguang","M",40000
"1986-07-07",14124,"Bennis","Mohammad","F",41960
"1986-05-06",14136,"Chappelet","Vasilii","F",48379
"1986-12-05",14202,"Marciano","Shooichi","F",56963
"1986-01-30",14224,"Conta","Guther","M",40000
"1986-06-13",14237,"Gerlach","Abdulla","F",57219
"1986-08-05",14299,"Kitsuregawa","Manu","M",76395
"1986-07-24",14314,"Fujisaki","Baziley","F",64049
"1986-06-30",14320,"Schaar","Sreenivas","M",40000
"1986-02-04",14258,"Rothenberg","Haldun","M",43080
"1986-12-19",14340,"Wixon","Vitaly","M",42858
"1986-01-06",14265,"Roison","Jaber","F",41336
"1986-09-30",14362,"Kleiser","Michaela","F",55944
"1986-08-23",14427,"Percebois","Duangkaew","F",40000
"1986-03-20",14374,"Tomescu","Berthier","M",61101
"1986-05-14",14417,"Aloisi","Shrikanth","M",40000
"1986-11-01",14439,"Woycyznski","Raimond","M",80654
"1986-04-20",14461,"Hitomi","Weicheng","F",74913
"1986-08-25",14474,"Ferretti","Taiji","F",40000
"1986-01-30",14483,"Marrevee","Supot","M",40000
"1986-12-26",14556,"Zultner","Fatemeh","M",40000
"1986-08-05",14566,"Thibadeau","Duke","M",40000
"1986-05-23",14512,"Lupu","Oldrich","M",59789
"1986-11-29",14587,"Vural","Guangming","M",44469
"1986-02-25",14690,"Bellone","Yechezkel","F",40000
"1986-01-19",14603,"Marquardt","Lech","M",55369
"1986-08-29",14609,"Picel","Bartek","M",45148
"1986-11-16",14648,"Lorys","IEEE","M",89209
"1986-06-12",14649,"Parfitt","Nigel","M",40000
"1986-10-04",14650,"Georg","Yuqun","M",40000
"1986-12-02",14683,"Basart","Alois","M",41107
"1986-05-05",14693,"Stranks","Brewster","F",59960
"1986-08-12",14701,"Nittel","Kwee","M",53365
"1986-06-07",14706,"Guting","Hatem","M",43497
"1986-08-31",14712,"Bauknecht","Atreyi","F",44210
"1986-09-10",14724,"Lemarechal","Aron","M",66530
"1986-07-09",14728,"Cichocki","Serap","M",67673
"1986-09-10",14734,"Danner","Uri","M",40000
"1986-08-01",14829,"Wilharm","Bojan","M",52630
"1986-08-15",14762,"Bolotov","Kayoko","M",44820
"1986-06-23",14843,"Swick","Yaghout","M",40152
"1986-10-22",14844,"Rabejac","Mats","M",56196
"1986-04-16",14849,"Ashish","Aluzio","M",65365
"1986-11-26",14856,"Bernardinello","Bluma","F",40000
"1986-07-13",14865,"Serra","Ute","F",61175
"1986-09-19",14780,"Bruckman","Marlo","F",51232
"1986-12-09",14888,"Barriga","Temple","F",60916
"1986-12-18",14907,"Luga","Nakhoon","M",69351
"1986-01-15",14913,"Fujisaki","Karlis","F",49169
"1986-07-13",14781,"Rissland","Huican","F",48624
"1986-11-18",14918,"Kaiserswerth","Kellie","F",53305
"1986-08-31",15090,"Copas","Collette","M",61094
"1986-04-30",14938,"Mitina","King","M",58321
"1986-08-25",14953,"Wallrath","Chinya","M",54877
"1986-05-26",15092,"Bahi","Remmert","F",40000
"1986-01-11",14965,"Swiler","Gila","M",40000
"1986-04-01",15107,"Heijenga","Morris","M",44488
"1986-01-03",14969,"Himler","Hongzue","F",88575
"1986-11-20",14984,"Parhami","Sangeeta","F",40000
"1986-03-18",14989,"Marzano","Shalesh","M",42594
"1986-06-24",15130,"Puppo","Mohua","M",69759
"1986-05-23",15005,"Sadowsky","Kiam","M",50368
"1986-08-03",15009,"Figueira","Huican","F",43869
"1986-12-23",15011,"Isard","Felicidad","M",74135
"1986-06-30",15141,"Restivo","Takahito","M",40000
"1986-01-17",15144,"Binding","Geoffry","F",69193
"1986-01-08",15034,"Hoogerwoord","Pranas","F",40000
"1986-01-03",15038,"Dalphin","Weidon","M",40000
"1986-03-05",15157,"Ramras","Eckart","F",66416
"1986-05-14",15045,"Luby","Marco","M",55361
"1986-06-20",15172,"Pagter","Rafols","F",40000
"1986-10-09",15068,"Selvestrel","Sven","M",50704
"1986-04-30",15073,"Murthy","Make","F",40000
"1986-04-24",15075,"Rijsenbrij","Radoslaw","M",40000
"1986-10-06",15199,"Bernardinello","Heeju","F",49278
"1986-04-01",15082,"Zirintsis","Guadalupe","F",63024
"1986-08-11",15365,"Schiettecatte","Mikhail","M",41309
"1986-07-01",15232,"Scharstein","Jordanka","M",40761
"1986-08-13",15236,"Perng","Haldun","F",40000
"1986-06-12",15238,"Vandervoorde","Arunas","M",74949
"1986-12-19",15377,"Aumann","Shugo","M",50274
"1986-02-08",15391,"Bonifati","Cedric","M",84369
"1986-08-20",15259,"Schaft","Kauko","M",40000
"1986-08-21",15269,"Reghbati","Eric","F",60930
"1986-12-05",15271,"Bernardeschi","Shiv","F",88026
"1986-04-02",15396,"Erva","Marek","M",40000
"1986-03-26",15280,"Heuter","Takushi","M",40510
"1986-01-03",15285,"Veeraraghavan","Yurii","M",40000
"1986-02-28",15416,"Savasere","Toshiki","M",67354
"1986-07-31",15292,"Lammel","Miyeon","M",87586
"1986-08-16",15298,"Azevdeo","Jungsoon","M",43452
"1986-11-18",15423,"Karlin","Gretta","F",43875
"1986-01-04",15325,"Sadowsky","Maia","F",50100
"1986-04-16",15432,"Simmen","Adib","F",60935
"1986-12-24",15438,"Munoz","Constantijn","F",43326
"1986-02-27",15454,"Cesareni","Hongzue","F",57571
"1986-10-25",15464,"Glinert","Slavian","M",69900
"1986-09-28",15476,"Langford","Zhaofang","F",60363
"1986-12-28",15701,"Prenel","Ult","M",76737
"1986-08-30",15505,"Mikschl","Collette","F",56848
"1986-04-20",15511,"Kowalchuk","George","F",76880
"1986-03-02",15539,"Spieker","Shigeichiro","M",47803
"1986-12-16",15565,"Muchinsky","True","M",73532
"1986-06-18",15570,"Pargaonkar","Mohua","M",52020
"1986-06-07",15580,"Kusalik","Stepehn","F",49972
"1986-09-26",15590,"Kaminger","Shuichi","M",58271
"1986-04-29",15595,"Waeselynck","Tru","M",65799
"1986-10-07",15598,"Kemmerer","Kristinn","M",95341
"1986-05-30",15728,"Nooteboom","Jaewon","F",40000
"1986-11-14",15766,"Osgood","Dhritiman","M",47626
"1986-04-22",15753,"Breugel","Sanjay","M",40000
"1986-09-29",15777,"Hambrick","Tran","M",40000
"1986-09-20",15892,"Pettis","Lunjin","F",60367
"1986-01-07",15800,"Strandh","Kazunori","M",43841
"1986-08-26",15810,"Tiemann","Tesuro","M",49014
"1986-03-20",15831,"Bridgland","Arno","M",40000
"1986-06-14",15834,"Simkin","Changho","M",47525
"1986-04-21",15913,"Mattern","Shigeaki","M",58912
"1986-10-03",15866,"Seiwald","Angel","M",40000
"1986-03-12",15917,"Einsfeld","Jaroslava","M",40000
"1986-09-27",15881,"Luby","Ortrun","F",49887
"1986-01-05",15928,"Feinberg","Bangqing","F",40000
"1986-12-09",15886,"Zuberek","Kish","M",40000
"1986-02-03",15889,"Azumi","Sasan","M",63393
"1986-09-09",15942,"Rosca","Murthy","M",50486
"1986-01-14",15948,"Versino","Karoline","F",40000
"1986-03-31",15955,"Dratva","Yuguang","F",45283
"1986-12-04",16011,"Yoshizawa","Mohit","M",40000
"1986-09-09",16033,"Spelt","Wayne","F",40000
"1986-07-19",16059,"Rosch","Munehiro","M",42968
"1986-01-25",16062,"Peak","Jaques","F",71756
"1986-10-15",16168,"Ashish","JoAnna","M",78697
"1986-03-31",16100,"Petereit","Mantis","F",40000
"1986-12-05",16172,"Pocchiola","Ziya","M",55022
"1986-02-15",16129,"Domenig","Arnould","F",85477
"1986-10-22",16181,"Ranft","Martien","M",58374
"1986-08-13",16190,"Fandrianto","Constantine","M",58163
"1986-10-13",16205,"Radivojevic","Kerhong","M",84744
"1986-07-17",16223,"Marsiglia","Eckart","M",55787
"1986-01-09",16231,"Masamoto","Cheong","M",59383
"1986-05-14",16234,"Basart","Jacopo","F",40000
"1986-07-30",16251,"Stranks","Shih","M",53209
"1986-03-09",16309,"Cools","Ronnie","F",40664
"1986-09-30",16267,"Beznosov","Divine","M",70629
"1986-11-07",16337,"Schaad","Hironoby","M",40000
"1986-04-16",16272,"Zeleznik","Shuho","M",40000
"1986-07-01",16355,"Luca","Nikolaos","M",80403
"1986-05-19",16274,"Navazio","Sadun","M",65521
"1986-08-01",16361,"Chappelet","Kazuyasu","F",40000
"1986-07-21",16286,"Stille","Gritta","F",62792
"1986-09-06",16430,"Sifakis","Paraskevi","F",40000
"1986-04-07",16362,"Felcyn","Niranjan","M",65737
"1986-09-26",16371,"Danlos","Duri","F",47200
"1986-06-06",16378,"Zobel","Ashish","F",86358
"1986-06-01",16380,"Chleq","Zhilian","M",42820
"1986-09-24",16383,"Czap","Lidong","F",55977
"1986-07-21",16391,"Syrzycki","Hidekazu","M",40000
"1986-02-03",16394,"Gluchowski","Chinho","F",48372
"1986-02-10",16418,"Noriega","Atreyi","F",40000
"1986-12-16",16453,"Basart","Goncalo","M",47433
"1986-09-06",16461,"Schahn","Remmert","M",83638
"1986-04-14",16479,"Eiter","Jixiang","M",62446
"1986-01-01",16483,"Karlin","Kwangyoen","M",60560
"1986-03-17",16485,"Klassen","Baruch","M",69706
"1986-03-18",16486,"Perin","Sanjay","M",57496
"1986-08-20",16493,"Cooley","Rafols","M",47636
"1986-03-09",16576,"Beidas","Zhensheng","F",40000
"1986-06-20",16580,"Valiente","Masaru","F",40000
"1986-04-06",16510,"Vecchio","Mototsugu","M",40000
"1986-03-16",16546,"Lanphier","Sangeeta","M",47819
"1986-10-10",16609,"Ventosa","Boriana","M",79177
"1986-08-26",16611,"Litzler","Yucai","M",40000
"1986-02-28",16635,"Zyda","Alselm","M",57905
"1986-12-16",16639,"Melter","Zhiguo","F",45049
"1986-11-24",16647,"Gadepally","Zhiwei","F",84325
"1986-08-21",16551,"Ranon","Sadegh","M",82980
"1986-07-12",16657,"Heyers","Yongdong","M",63463
"1986-01-18",16658,"Soicher","Florian","M",50917
"1986-11-07",16708,"Zaumen","Tommaso","M",40000
"1986-03-13",16672,"Peris","Georgi","M",55265
"1986-02-04",16677,"Badr","Shen","M",68128
"1986-11-19",16683,"Ghandeharizadeh","Hatem","F",60120
"1986-12-24",16723,"Randt","Mohd","F",56932
"1986-04-15",16731,"Versino","Domenico","M",48868
"1986-03-06",16740,"Oehlmann","Greger","M",64251
"1986-11-26",16761,"Vrecion","Ziva","M",40000
"1986-04-26",16799,"Bamford","Shigeichiro","M",54405
"1986-03-11",16851,"Stasinski","Leon","M",51771
"1986-01-08",16865,"Rosin","Gou","M",40000
"1986-08-23",16871,"Stiles","Munir","M",55303
"1986-08-24",16880,"Bresenham","Honesty","M",40000
"1986-03-25",16804,"Wossner","Alain","M",64651
"1986-08-21",16890,"Terkki","Nathan","F",69639
"1986-12-05",16825,"Perri","Ziyad","F",40000
"1986-05-22",16908,"Iisaku","Eben","M",89207
"1986-05-29",16910,"Botman","Kazunori","M",57230
"1986-05-17",16826,"Rosis","Morris","M",52626
"1986-02-24",16991,"Birke","Oksana","F",40000
"1986-02-14",16945,"McConalogue","Ramzi","M",54183
"1986-08-06",16954,"Apsitis","Akhilish","M",47943
"1986-03-28",16957,"Vandervoorde","Raimond","M",42794
"1986-10-28",16966,"Atchley","Uri","F",56703
"1986-02-20",17018,"Tasistro","Berhard","F",40000
"1986-12-07",17022,"Sevcikova","Tianruo","M",46308
"1986-05-29",17026,"Hockney","Sham","M",67112
"1986-08-17",17029,"Bardell","Nobuyoshi","M",40000
"1986-09-30",17071,"Calkin","Koldo","F",40000
"1986-09-29",17234,"Oppitz","Miomir","M",59650
"1986-10-12",17210,"Bahk","Moti","F",61626
"1986-08-31",17224,"Back","Denis","M",40000
"1986-05-28",17232,"Baaz","Lihong","M",55695
"1986-09-29",17237,"Schaap","Takahiro","M",48825
"1986-12-14",17248,"Thombley","Changho","M",40000
"1986-06-21",17258,"Takkinen","Gladys","M",57847
"1986-03-01",17293,"Alpin","Demin","F",40000
"1986-04-10",17377,"Ambroszkiewicz","Kien","F",68008
"1986-07-21",17296,"Molenaar","Lokesh","M",45510
"1986-02-28",17326,"Ramsay","Arumugam","F",40000
"1986-10-06",17395,"Cappelletti","Isamu","M",61532
"1986-09-15",17397,"Hardjono","Kenroku","F",40000
"1986-05-18",17409,"Serra","Heejo","M",54732
"1986-07-04",17429,"Ossenbruggen","Aris","M",52499
"1986-02-27",17504,"Comyn","Nidapan","M",41965
"1986-07-23",17470,"Lichtner","Genevieve","M",60901
"1986-08-08",17492,"Rodite","Heon","M",79834
"1986-08-07",17507,"Turnbull","Yurij","F",84985
"1986-08-27",17516,"Dulli","Rosita","F",40090
